video_id,skill_id,batch_id
wQ8BIBpya2k,tensorflow_image_classification,2025-11-07-static-v1
6_2hzRopPbQ,tensorflow_image_classification,2025-11-07-static-v1
WvoLTXIjBYU,tensorflow_image_classification,2025-11-07-static-v1
9NsfX9W80rw,tensorflow_image_classification,2025-11-07-static-v1
z-ZR_8BZ1wQ,tensorflow_image_classification,2025-11-07-static-v1
eMMZpas-zX0,tensorflow_image_classification,2025-11-07-static-v1
1saRltqot8c,tensorflow_image_classification,2025-11-07-static-v1
QzY57FaENXg,tensorflow_image_classification,2025-11-07-static-v1
fSgNjOvXTCs,tensorflow_image_classification,2025-11-07-static-v1
969JyYVM0Pg,tensorflow_image_classification,2025-11-07-static-v1
ORMx45xqWkA,tensorflow_image_classification,2025-11-07-static-v1
9mf4tj8TR4o,tensorflow_image_classification,2025-11-07-static-v1
IA3WxTTPXqQ,tensorflow_image_classification,2025-11-07-static-v1
P8MZ1Z2LHrw,tensorflow_image_classification,2025-11-07-static-v1
eJ_SIwDCPBc,tensorflow_image_classification,2025-11-07-static-v1
QwTW870n2pQ,tensorflow_image_classification,2025-11-07-static-v1
zqgpoSPJnKQ,tensorflow_image_classification,2025-11-07-static-v1
OBu-aGl-NSo,tensorflow_image_classification,2025-11-07-static-v1
FEMDZWXfdSE,tensorflow_image_classification,2025-11-07-static-v1
aL6Dm9jtVIY,tensorflow_image_classification,2025-11-07-static-v1
dVT7cFcSg0s,tensorflow_image_classification,2025-11-07-static-v1
Pkjmsxrz57o,tensorflow_image_classification,2025-11-07-static-v1
cPmjQ9V6Hbk,tensorflow_image_classification,2025-11-07-static-v1
bemDFpNooA8,tensorflow_image_classification,2025-11-07-static-v1
iyHkg7TmHmE,tensorflow_image_classification,2025-11-07-static-v1
j-35y1M9rRU,tensorflow_image_classification,2025-11-07-static-v1
zEy9rFnKDAw,tensorflow_image_classification,2025-11-07-static-v1
VtRLrQ3Ev-U,tensorflow_image_classification,2025-11-07-static-v1
KNAWp2S3w94,tensorflow_image_classification,2025-11-07-static-v1
WzzW8f5H_MQ,tensorflow_image_classification,2025-11-07-static-v1
C5Qwr75cyzw,tensorflow_image_classification,2025-11-07-static-v1
QX6dvpMjP3I,tensorflow_image_classification,2025-11-07-static-v1
E__eD-ZpxHk,tensorflow_image_classification,2025-11-07-static-v1
4G5EO9fXj_c,tensorflow_image_classification,2025-11-07-static-v1
JCuVUUa1V7k,tensorflow_image_classification,2025-11-07-static-v1
D746UYYpTK4,tensorflow_image_classification,2025-11-07-static-v1
5JAZiue-fzY,tensorflow_image_classification,2025-11-07-static-v1
pGpACe28shM,tensorflow_image_classification,2025-11-07-static-v1
